gene	gene_symbol	cancer_relevance	rank_sum	average_rank	rank_std	method_ranks	appears_in_methods	n_methods	avg_composite_score	avg_feature_importance	delta_connectivity	median_composite_score	median_feature_importance	cluster_based_composite_score	cluster_based_feature_importance	consensus_rank
ENSG00000148218.16|ALAD	ALAD	non_cancer	78	39.000000	9.000000	{'median': 48, 'cluster_based': 30}	['median', 'cluster_based']	2	1525.285762	0.004239	1521.046816	1522.408912	0.001362	1528.162613	0.007116	40
ENSG00000038427.16|VCAN	VCAN	non_cancer	68	34.000000	1.000000	{'median': 33, 'cluster_based': 35}	['median', 'cluster_based']	2	714.188811	0.004160	710.028601	713.124646	0.003096	715.252976	0.005224	41
ENSG00000174306.21|ZHX3	ZHX3	non_cancer	79	39.500000	6.500000	{'median': 46, 'cluster_based': 33}	['median', 'cluster_based']	2	704.335134	0.003956	700.379610	701.776035	0.001396	706.894233	0.006515	42
ENSG00000007237.19|GAS7	GAS7	non_cancer	77	38.500000	15.500000	{'median': 23, 'cluster_based': 54}	['median', 'cluster_based']	2	1122.147604	0.003931	1118.216584	1125.058066	0.006841	1119.237141	0.001021	43
ENSG00000109919.10|MTCH2	MTCH2	non_cancer	71	35.500000	1.500000	{'median': 34, 'cluster_based': 37}	['median', 'cluster_based']	2	761.708715	0.003906	757.803084	760.636995	0.002834	762.780436	0.004977	44
ENSG00000164442.10|CITED2	CITED2	non_cancer	89	44.500000	13.500000	{'median': 31, 'cluster_based': 58}	['median', 'cluster_based']	2	1005.535820	0.002733	1002.802809	1007.435818	0.004633	1003.635822	0.000833	45
ENSG00000148848.14|ADAM12	ADAM12	non_cancer	85	42.500000	0.500000	{'median': 43, 'cluster_based': 42}	['median', 'cluster_based']	2	1035.233814	0.002496	1032.738224	1034.620452	0.001882	1035.847175	0.003109	46
ENSG00000159388.6|BTG2	BTG2	non_cancer	80	40.000000	5.000000	{'median': 35, 'cluster_based': 45}	['median', 'cluster_based']	2	1661.837121	0.002308	1659.529393	1662.333557	0.002804	1661.340685	0.001811	47
ENSG00000108861.9|DUSP3	DUSP3	breast_cancer	148	74.000000	26.000000	{'median': 100, 'cluster_based': 48}	['median', 'cluster_based']	2	944.072397	0.001669	943.237759	943.237759	0.000000	944.907035	0.001669	48
ENSG00000144711.16|IQSEC1	IQSEC1	non_cancer	95	47.500000	3.500000	{'median': 51, 'cluster_based': 44}	['median', 'cluster_based']	2	950.677248	0.001513	949.164657	950.254226	0.001090	951.100269	0.001936	49
ENSG00000112562.19|SMOC2	SMOC2	cancer	123	61.500000	25.500000	{'median': 36, 'cluster_based': 87}	['median', 'cluster_based']	2	741.006507	0.001402	739.604236	742.346263	0.002742	739.666751	0.000063	50
ENSG00000163812.15|ZDHHC3	ZDHHC3	non_cancer	147	73.500000	26.500000	{'median': 47, 'cluster_based': 100}	['median', 'cluster_based']	2	826.620620	0.001364	825.938792	827.302448	0.001364	825.938792	0.000000	51
